State_abb,State,Date,Lat,Lon,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
NE,Nebraska,2/28/2020,41.11807146,-98.34769384,2,0,0,0,0,0,0,0,0,0
TX,Texas,2/28/2020,31.51025632,-98.252124,2,0,0,0,0,0,0,0,0,0
WA,Washington,2/28/2020,46.70352869,-119.3591342,8,1,2,0,0,0,0,0,0,0
WI,Wisconsin,2/28/2020,44.11921289,-89.35496561,10,0,6,0,0,0,0,0,0,0
AZ,Arizona,2/29/2020,32.92311986,-109.0097148,6,0,5,0,0,0,0,0,0,0
CA,California,2/29/2020,37.42948681,-120.2166639,14,0,2,0,0,0,0,0,0,0
IL,Illinois,2/29/2020,39.79487369,-88.65905633,4,0,4,0,0,0,0,0,0,0
MA,Massachusetts,2/29/2020,40.98575192,-69.50445945,6,0,5,0,0,0,0,0,0,0
NE,Nebraska,2/29/2020,41.11807146,-98.34769384,2,0,0,0,0,0,0,0,0,0
OR,Oregon,2/29/2020,44.56902041,-121.6431079,2,0,0,0,0,0,0,0,0,0
TX,Texas,2/29/2020,31.51025632,-98.252124,2,0,0,0,0,0,0,0,0,0
WA,Washington,2/29/2020,46.70352869,-119.3591342,10,1,1,0,0,0,0,0,0,0
WI,Wisconsin,2/29/2020,44.11921289,-89.35496561,9,0,6,0,0,0,0,0,0,0
AZ,Arizona,3/1/2020,32.92311986,-109.0097148,5,0,3,0,0,0,0,0,0,0
CA,California,3/1/2020,37.42948681,-120.2166639,16,0,2,0,0,0,0,0,0,0
IL,Illinois,3/1/2020,39.79487369,-88.65905633,8,0,2,0,0,0,0,0,0,0
MA,Massachusetts,3/1/2020,40.98575192,-69.50445945,5,0,4,0,0,0,0,0,0,0
NE,Nebraska,3/1/2020,41.11807146,-98.34769384,2,0,0,0,0,0,0,0,0,0
OR,Oregon,3/1/2020,44.56902041,-121.6431079,6,0,0,0,0,0,0,0,0,0
