,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
191,1/23/2020,Argentina,0,0,0,0,0,0,0
192,1/23/2020,Armenia,0,0,0,0,0,0,0
193,1/23/2020,Australia,0,0,0,0,0,0,0
194,1/23/2020,Austria,0,0,0,0,0,0,0
195,1/23/2020,Azerbaijan,0,0,0,0,0,0,0
196,1/23/2020,Bahamas,0,0,0,0,0,0,0
197,1/23/2020,Bahrain,0,0,0,0,0,0,0
198,1/23/2020,Bangladesh,0,0,0,0,0,0,0
199,1/23/2020,Barbados,0,0,0,0,0,0,0
200,1/23/2020,Belarus,0,0,0,0,0,0,0
201,1/23/2020,Belgium,0,0,0,0,0,0,0
202,1/23/2020,Belize,0,0,0,0,0,0,0
203,1/23/2020,Benin,0,0,0,0,0,0,0
204,1/23/2020,Bhutan,0,0,0,0,0,0,0
205,1/23/2020,Bolivia,0,0,0,0,0,0,0
206,1/23/2020,Bosnia and Herzegovina,0,0,0,0,0,0,0
207,1/23/2020,Botswana,0,0,0,0,0,0,0
208,1/23/2020,Brazil,0,0,0,0,0,0,0
209,1/23/2020,Brunei,0,0,0,0,0,0,0
210,1/23/2020,Bulgaria,0,0,0,0,0,0,0
211,1/23/2020,Burkina Faso,0,0,0,0,0,0,0
212,1/23/2020,Burma,0,0,0,0,0,0,0
213,1/23/2020,Burundi,0,0,0,0,0,0,0
214,1/23/2020,Cabo Verde,0,0,0,0,0,0,0
215,1/23/2020,Cambodia,0,0,0,0,0,0,0
216,1/23/2020,Cameroon,0,0,0,0,0,0,0
217,1/23/2020,Canada,0,0,0,0,0,0,0
218,1/23/2020,Central African Republic,0,0,0,0,0,0,0
219,1/23/2020,Chad,0,0,0,0,0,0,0
220,1/23/2020,Chile,0,0,0,0,0,0,0
221,1/23/2020,China,643,18,30,595,95,1,2
222,1/23/2020,Colombia,0,0,0,0,0,0,0
223,1/23/2020,Comoros,0,0,0,0,0,0,0
224,1/23/2020,Congo (Brazzaville),0,0,0,0,0,0,0
225,1/23/2020,Congo (Kinshasa),0,0,0,0,0,0,0
226,1/23/2020,Costa Rica,0,0,0,0,0,0,0
227,1/23/2020,Cote d'Ivoire,0,0,0,0,0,0,0
228,1/23/2020,Croatia,0,0,0,0,0,0,0
229,1/23/2020,Cuba,0,0,0,0,0,0,0
230,1/23/2020,Cyprus,0,0,0,0,0,0,0
231,1/23/2020,Czechia,0,0,0,0,0,0,0
232,1/23/2020,Denmark,0,0,0,0,0,0,0
233,1/23/2020,Djibouti,0,0,0,0,0,0,0
234,1/23/2020,Dominica,0,0,0,0,0,0,0
235,1/23/2020,Dominican Republic,0,0,0,0,0,0,0
236,1/23/2020,Ecuador,0,0,0,0,0,0,0
237,1/23/2020,Egypt,0,0,0,0,0,0,0
238,1/23/2020,El Salvador,0,0,0,0,0,0,0
239,1/23/2020,Equatorial Guinea,0,0,0,0,0,0,0
240,1/23/2020,Eritrea,0,0,0,0,0,0,0
241,1/23/2020,Estonia,0,0,0,0,0,0,0
242,1/23/2020,Eswatini,0,0,0,0,0,0,0
243,1/23/2020,Ethiopia,0,0,0,0,0,0,0
244,1/23/2020,Fiji,0,0,0,0,0,0,0
245,1/23/2020,Finland,0,0,0,0,0,0,0
246,1/23/2020,France,0,0,0,0,0,0,0
247,1/23/2020,Gabon,0,0,0,0,0,0,0
248,1/23/2020,Gambia,0,0,0,0,0,0,0
249,1/23/2020,Georgia,0,0,0,0,0,0,0
250,1/23/2020,Germany,0,0,0,0,0,0,0
251,1/23/2020,Ghana,0,0,0,0,0,0,0
252,1/23/2020,Greece,0,0,0,0,0,0,0
253,1/23/2020,Grenada,0,0,0,0,0,0,0
254,1/23/2020,Guatemala,0,0,0,0,0,0,0
255,1/23/2020,Guinea,0,0,0,0,0,0,0
